id,title,url,average_page_views_per_visit,bounce_rate,has_integration,last_visited,page_views,rank,visits
17036922727134764072,Høje energipriser | Energistyrelsen,https://sparenergi.dk/forbruger/hoje-energipriser,1.21,49.21,False,2023-05-31,7836,110,6450
6036044738976857326,Gode energivaner | Energistyrelsen,https://sparenergi.dk/forbruger/el/dit-elforbrug/gode-energivaner,1.17,58.88,False,2023-04-25,7809,111,6667
359421512286386209,Hvilken type varmepumpe skal du vælge?,https://sparenergi.dk/privat/tid-til-skifte-varmetype/hvilken-type-varmepumpe-skal-du-vaelge,1.28,35.43,False,2024-07-09,7618,112,5965
15791428000417829278,Beregn forventet tilskud til LED fra Erhvervspuljen,https://sparenergi.dk/erhverv/belysningsberegner,2.6,24.8,False,2024-07-09,7514,113,2891
14707182437839777045,Energimærkning boliger | Energistyrelsen,https://old.sparenergi.dk/forbruger/boligen/energimaerkning-boliger,1.21,65.07,False,2024-07-09,7477,114,6169
15725087681703970759,Ny Varme | Energistyrelsen,https://sparenergi.dk/ny-varme,1.2,54.66,False,2024-07-08,7463,115,6219
10014862525311405100,Sommerdrift | Energistyrelsen,https://sparenergi.dk/forbruger/varme/sommerdrift,1.19,21.3,False,2023-06-30,7266,116,6128
8088230713488561343,Elforbrugsregner | Energistyrelsen,https://sparenergi.dk/electricity-consumption?destination=/privat/elforbrugsberegner%23module-7369,1.25,52.11,False,2024-07-09,7011,117,5590
13534316183793896025,Få hjælp til at spare el og varme i din bolig,https://ny.sparenergi.dk,1.1,13.36,False,2023-09-19,6986,118,6338
12922105556490697340,Ventilation og indeklima | Energistyrelsen,https://sparenergi.dk/forbruger/boligen/ventilation-og-indeklima,1.09,86.96,False,2023-04-30,6891,119,6308
13324939078828114390,,https://sparenergi.dk/product-list-pager-ajax?manufacturer%5B0%5D=10831&manufacturer%5B1%5D=10837&manufacturer%5B2%5D=10856&manufacturer%5B3%5D=10840&manufacturer%5B4%5D=10867&manufacturer%5B5%5D=10927&manufacturer%5B6%5D=10843&manufacturer%5B7%5D=10887&manufacturer%5B8%5D=10835&manufacturer%5B9%5D=10842&manufacturer%5B10%5D=10928&manufacturer%5B11%5D=10841&manufacturer%5B12%5D=10833&manufacturer%5B13%5D=10836&manufacturer%5B14%5D=10844&items_per_page=20&type=43&sort=1&power=6-12&sorting_option=6&manufacturers%5B0%5D=10831&manufacturers%5B1%5D=10837&manufacturers%5B2%5D=10856&manufacturers%5B3%5D=10840&manufacturers%5B4%5D=10867&manufacturers%5B5%5D=10927&manufacturers%5B6%5D=10843&manufacturers%5B7%5D=10887&manufacturers%5B8%5D=10835&manufacturers%5B9%5D=10842&manufacturers%5B10%5D=10928&manufacturers%5B11%5D=10841&manufacturers%5B12%5D=10833&manufacturers%5B13%5D=10836&manufacturers%5B14%5D=10844&max_pager_elements=5&page=1&items_per_page_show%5B10%5D=10&items_per_page_show%5B15%5D=15&items_per_page_show%5B20%5D=20&items_per_page_show%5B30%5D=30&items_per_page_show%5B40%5D=40&items_per_page_show%5BAll%5D=All&kw=9,1.05,76.4,False,2023-01-17,6859,120,6559
10157880683411636260,Hvornår er strømmen billigst? | SparEnergi,https://sparenergi.dk/privat/spar-energi-i-hverdagen/brug-stroemmen-naar-den-er-billigst,1.14,83.62,False,2024-07-09,6836,121,5976
5928503224641968748,Luft til luft-varmepumpe,https://sparenergi.dk/forbruger/vaerktoejer/energiloesninger/luft-til-luft-varmepumpe,1.2,73.19,False,2023-10-20,6782,122,5673
1195882271853778806,Erhvervspuljen: Få tilskud til den grønne omstilling | SparEnergi,https://sparenergi.dk/erhvervspuljen?gad_source=1,1.81,18.85,False,2024-07-09,6718,123,3714
10961590584047992259,Boligen | Energistyrelsen,https://sparenergi.dk/forbruger/boligen,1.14,56.65,False,2023-04-23,6716,124,5911
12478646149750814075,Page not found | Energistyrelsen,https://sparenergi.dk/forbruger/vaerktoejer/energiloesninger,1.42,41.9,False,2023-04-27,6682,125,4706
17355455327899311920,Skift til jordvarme,https://sparenergi.dk/forbruger/vaerktoejer/energiloesninger/skift-til-jordvarme,1.25,56.41,False,2023-09-12,6676,126,5343
5992586410109202964,Værktøjer | Energistyrelsen,https://sparenergi.dk/forbruger/vaerktoejer,1.26,13.88,False,2023-08-18,6663,127,5288
12141379398927731480,Skift til varmepumpe på abonnement,https://sparenergi.dk/forbruger/vaerktoejer/energiloesninger/skift-til-varmepumpe-pa-abonnement,1.21,66.35,False,2023-05-23,6629,128,5459
13247802591733848587,Vedligehold og drift af naturgasanlæg | Energistyrelsen,https://sparenergi.dk/forbruger/varme/naturgas/vedligehold-og-drift-af-naturgasanlaeg,1.08,86.5,False,2023-03-29,6383,129,5900
12484159101886717890,Dine bygninger | Energistyrelsen,https://old.sparenergi.dk/peconsumption-management/workplaces,2.24,12.91,False,2024-07-09,6367,130,2846
6999636740811270492,Har du allerede søgt tilskud?,https://old.sparenergi.dk/forbruger/boligen/tilskud/har-du-allerede-sogt-tilskud,1.21,71.98,False,2023-06-08,6271,131,5193
12020269202223098806,Huse | Energistyrelsen,https://old.sparenergi.dk/forbruger/boligen/energimaerkning-boliger/huse,1.09,83.19,False,2024-07-09,6247,132,5724
6029230308939577869,Gratis privat energirådgivning | SparEnergi,https://sparenergi.dk/privat/raadgivningen,1.18,67.97,False,2024-07-09,6212,133,5246
3531458861360277127,Elvarme | Energistyrelsen,https://sparenergi.dk/forbruger/varme/elvarme,1.12,59.29,False,2023-09-25,6168,134,5491
15009271930233021632,Variabel elpris | Energistyrelsen,https://sparenergi.dk/forbruger/el/dit-elforbrug/variabel-elpris,1.12,47.75,False,2023-03-29,6149,135,5474
12333800688430129864,Varme | Energistyrelsen,https://sparenergi.dk/forbruger/varme,1.16,26.71,False,2023-03-31,5917,136,5119
9784921054781238021,Bygningsguiden | Energistyrelsen,https://old.sparenergi.dk/forbruger/vaerktoejer/bygningsguiden,1.29,24.57,False,2024-07-09,5883,137,4544
17217630742525600866,Tro og loveerklæring ved ansøgning om tilskud,https://sparenergi.dk/forbruger/materialer/tro-og-loveerklaering-ved-ansogning-om-tilskud,1.35,22.83,False,2023-03-31,5851,138,4348
13301507342343859545,Site under opdatering | Energistyrelsen,https://sparenergi.dk/forbruger/vaerktoejer/goer-det-selv-guides/guide-til-en-mindre-varmeregning,1.14,59.85,False,2024-01-03,5804,139,5105
11811239002505641654,Madlavning | Energistyrelsen,https://sparenergi.dk/forbruger/el/madlavning,1.19,74.37,False,2023-03-31,5802,140,4894
11211710827184279141,Skift til luft til vand - varmepumpe,https://sparenergi.dk/privat/tid-til-skifte-varmetype/saadan-faar-du-luft-til-vand-varmepumpe,1.21,56.05,False,2024-07-08,5795,141,4785
3092669415690983775,Find energimærkningsfirma | Energistyrelsen,https://sparenergi.dk/forbruger/vaerktoejer/find-energimaerkningsfirma,1.15,66.49,False,2023-09-28,5734,142,4999
1005449800154189902,Energibarometeret | Energistyrelsen,https://sparenergi.dk/forbruger/energibarometeret,1.12,83.92,False,2024-07-05,5537,143,4964
16868614858836154828,Skift til fjernvarme,https://sparenergi.dk/forbruger/vaerktoejer/energiloesninger/skift-til-fjernvarme,1.2,59.96,False,2023-09-19,5508,144,4603
